"Document Title","Added","Issue"
"Parallel Processing of Big Heterogeneous Data for Security Monitoring of IoT Networks","2017","Networks of the Internet of Things (IoT) nowadays find greater widespread in many domains. Particularities of creation of IoT make the problem of their security monitoring rather actual, it is caused by necessity of processing of big amounts of heterogeneous data in real time. The problem may be solved by means of implementation of the parallel system for security data processing within IoT on the fly basing on complex event processing (CEP) technology. The paper considers basic solutions for creating such a system. The proposed system is oriented for usage of software environment Hadoop and includes data collection, data storage, data normalization and analysis, and data visualization components. The paper discusses the issues of architecture of this system, its implementation and experimental estimation. The experiments showed that the proposed approach to creation of the system on the basis of CEP technology provides suitable scalability and is capable to meet the requirements of processing data on security events in real time in IoT."
"PACT-ART: Enrichment, Data Mining, and Complex Event Processing in the Internet of Cultural Things","2016","Artwork transportation processes are generally agreed-upon, and long running propositions between multiple partners that are specified over service level agreements, performance, and complex quality constraints to be maintained. The complexity of the constraints is defined by the sensitivity, value, and significance of artworks, where any recorded damage would probably leave undesired marks on the long-term, and diminish the lifetime of art pieces. Due to the uncontrollable, and unpredictable nature of the context during transportation, the specified constraints are often violated in real scenarios. In this paper, we introduce the PACT-ART architecture to integrate advanced computing techniques with transportation activities. This integration counts on external and Internet of Things (IoT) services to draw and understand the context of activities, thus it paves a way to predict a future state of the ongoing process and point out any possible violation in advance. Moreover, PACT-ART combines Complex Event Processing (CEP) techniques and makes this technology available even to non-experts in the domain. Finally, we showcase some initial experiments on real-life transportation scenarios that testify to the efficiency of our proposal."
"Real time analysis of sensor data for the Internet of Things by means of clustering and event processing","2015","Sensor technology and sensor networks have evolved so rapidly that they are now considered a core driver of the Internet of Things (IoT), however data analytics on IoT streams is still in its infancy. This paper introduces an approach to sensor data analytics by using the OpenIoT<sup>1</sup>middleware; real time event processing and clustering algorithms have been used for this purpose. The OpenIoT platform has been extended to support stream processing and thus we demonstrate its flexibility in enabling real time on-demand application domain analytics. We use mobile crowd-sensed data, provided in real time from wearable sensors, to analyse and infer air quality conditions. This experimental evaluation has been implemented using the design principles and methods for IoT data interoperability specified by the OpenIoT project. We describe an event and clustering analytics server that acts as an interface for novel analytical IoT services. The approach presented in this paper also demonstrates how sensor data acquired from mobile devices can be integrated within IoT platforms to enable analytics on data streams. It can be regarded as a valuable tool to understand complex phenomena, e.g., air pollution dynamics and its impact on human health."
"Efficient Multipattern Event Processing Over High-Speed Train Data Streams","2015","Big data is becoming a key basis for productivity growth, innovation, and consumer surplus, but also bring us great challenges in its volume, velocity, variety, value, and veracity. The notion of event is an important cornerstone to manage big data. High-speed railway is one of the most typical application domains for event-based system, especially for the train onboard system. There are usually numerous complex event patterns subscribed in system sharing the same prefix, suffix, or subpattern; consequently, multipattern complex event detection often results in plenty of redundant detection operations and computations. In this paper, we propose a multipattern complex event detection model, multipattern event processing (MPEP), constructed by three parts: 1) multipattern state transition; 2) failure transition; and 3) state output. Based on MPEP, an intelligent onboard system for high-speed train is preliminarily implemented. The system logic is described using our proposed complex event description model and compiled into a multipattern event detection model. Experimental results show that MPEP can effectively optimize the complex event detection process and improve its throughput by eliminating duplicate automata states and redundant computations. This intelligent onboard system also provides better detection ability than other models when processing real-time events stored in high-speed train Juridical Recording Unit (JRU)."
"An Efficient Secure Data Aggregation Technique for Internet of Things Network: An Integrated Approach Using DB-MAC and Multi-path Topology","2016","Internet of Things is a network of interconnected objects embedded with computational power and digital communications. The objects have an addressable and locatable counterpart on the Internet and can open a communication channel with any other entity at any time and in any place and generate data which is considered private by many users. Hence, one of the requirements of ubiquitous applications would be privacy preservation. After collecting the data, we need to do event filtering and complex event processing which enable us to process simple events in the data. This is achieved through data aggregation. In this paper we first discuss the challenges in security and privacy of Internet of Things. It provides a comprehensive review on the existing data aggregation techniques as applied to wireless sensor networks. Further we propose an integrated approach for data aggregation in the Internet of Things environment. Our approach takes into account the computational limitations and communication constraints associated with the Internet of Things network while also incorporating security features with the aim of designing a full-fledged secure data aggregation technique."
"Research on Data Process Method of Engineering Training Based on Cloud Service","2017","In order to adapt to the complex and varying data process logic for the engineering training in the new manufacturing background, and achieve the management of RFID (Radio Frequency Identification) data in the shop floor. This paper proposes a complex event engine mechanism for the training data process based on cloud service. In the cloud, the training resource object is mapped into training cloud object with its atomic data operations. Then, the engine combines these atomic operations into the event execution to support the engineering training according to the service rules."
"A Self-Organized Task Distribution Framework for Module-Based Event Stream Processing","2019","Tackling bottleneck and privacy issues of cloud computing, we attempt to push event stream processing down to devices which are currently empowered to compute and communicate at the edge of the networks. To accomplish that, we propose a self-organized task distribution framework that is composed of multiple brokers collaborating through our module-based event stream processing engine called <italic>EdgeCEP</italic>. Our system request is event-dependent specified in a brand-new event specification language; still, the event is stored and processed by the relational database. We newly formulate the problem of self-organized task distribution subjective to preferable constraints of computation and communication. The solution for each broker to find individual optimal decision is to apply tabu search with flow-based greedy move regarding pre-ranking flow table. Many experiments are conducted to study and evaluate the performance of the proposed system. The simulation shows that the proposed flow optimization outperforms the naïve algorithm, concretely, 2-times more tasks getting processed and successfully delivered within the same fixed period. The proposed edge-centric method achieves data traffic 7-times less than the cloud-centric approach. The prototype engines have been deployed and evaluated in the real environment."
"A Novel Runtime Verification Solution for IoT Systems","2018","Internet of Things (IoT) systems promise a seamless connected world with machines integrating their services without human intervention. It's highly probable that the entities participating in such autonomous machine to machine interactions are to be provided by different manufactures. Thus, integrating such heterogeneous devices from many providers complicates design and verification of IoT systems at an unprecedented scale. In this paper, we propose a novel runtime verification approach for IoT systems. The contributions of our proposed solution include: exploiting the interactions in message sequence charts (MSC) to specify message exchanges of constrained application protocol-based IoT systems in terms of events, a novel event calculus for formally describing IoT system constraints specified by means of MSCs, and an event processing algebra that uses complex-event processing techniques for detecting failures in the system by monitoring the runtime event occurrences with respect to the system constraints defined by event calculus. We further demonstrate the viability of proposed solution with case studies."
"Cognitive Acoustic Analytics Service for Internet of Things","2017","The rapid development of the Internet of Things (IoT) has brought great changes for non-contact and non-destructive sensing and diagnosis. For every inanimate object can tell us something by the sound it makes, acoustic sensor demonstrates great advantages comparing to conventional electronic and mechanic sensors in such cases: overcoming environmental obstacles, mapping to existing use cases of detecting problems with human ears, low cost for deployment, etc. It could be widely applied to various domains, such as predictive maintenance of machinery, robot sensory, elderly and baby care in smart home, etc. Whether we can use the acoustic sensor data to understand what is happening and to predict what will happen relies heavily on the analytics capabilities we apply to the acoustic data, which has to overcome the obstacles of noise, disturbance and errors, and has to meet the requirement of real-time processing of high volume signals with large number of sensors. In this paper, we propose a scalable cognitive acoustics analytics service for IoT that provides the user an incremental learning approach to evolve their analytics capability on non-intuitive and unstructured acoustic data through the combination of acoustic signal processing and machine learning technology. It first performs acoustic signal processing and denoising, enables acoustic signal based abnormal detection based on sound intensity, spectral centroid, etc. Then based on the accumulated abnormal data, a supervised learning method is performed as baseline and a neural network based classifier is used to recognize acoustic events in different scenarios with various volume of sample data and requirement of accuracy. In addition, acoustic sensor arrays processing is supported for localization of moving acoustic source in more complex scenario. In this paper, we designed a hybrid computing structure. Finally, we conduct experiments on acoustic event recognition for machinery diagnosis, and show that the proposed system can achieve high accuracy."
"Runtime verification of IoT systems using Complex Event Processing","2017","Internet of Things (IoT) is a new computing paradigm that is proliferated by wide adoption of application level protocols such as MQTT and CoAP, each of which defines different styles of sequential interaction of events. Even though there is a considerable effort in the literature for verification of such complex and distributed systems, a practical solution for IoT systems that supports runtime system verification is still missing. In this paper, we present a runtime monitoring approach for IoT systems that exploits event relations expressed in terms of sequential interaction messaging model of Constrained Application Protocol (CoAP). We propose the use of Complex-Event Processing (CEP) to detect failures at runtime by exploiting complex event patterns defined via predetermined event algebra. We further present a simple case scenario to demonstrate the applicability of the approach on Wireless Token Ring Protocol execution."
"Investigating Metrics to Build a Benchmark Tool for Complex Event Processing Systems","2016","Despite companies' demand for data streams processing systems to handle large volumes of flowing data, we did not find many software to assess these sort of systems. In fact, up to date, there are few papers proposing metrics to evaluate these systems or describing software for benchmarks. Most of the papers focus on metrics such as throughput, latency and memory consumption. However, there are other metrics, which system administrators and users should consider, such as information latency, the correctness of results, adaptability on different workloads and others. Therefore, in this paper, we summarized some key metrics used to assess systems for processing online data streams. In addition, we discuss three benchmark tools found in the literature to assess this type of system. At the end of this paper, we propose a new benchmark tool for complex event processing distributed systems called B2-4CEP, which incorporate the metrics described in this paper."
"A Feature-based Learning System for Internet of Things Applications","2019","In many applications of Internet of Things (IoT), the huge amount of data are generated by sensor nodes and processing them are complex. Offloading data classification and anomaly event detection tasks to sink nodes in sensor networks can reduce the computing complexity, lower remote communication loads and improve the response time for the delay-sensitive IoT applications. Many existing classification and anomaly detection methods cannot be directly applied to these IoT applications, because the computing and energy resources of sensors are limited. In this paper, a new feature-based learning system for IoT applications is proposed to effectively classify data and detect anomaly event. Especially, based on the theory of distributed compression, the sparsity and relativity of the data are exploited to obtain the classification features, which can reduce the computation overhead and energy consumption. Further,a RBF-BP hybrid neural network is employed to detect the anomaly event based on the classification results, by which the training time of neural network can be significantly reduced and the accuracy can be improved for users’ decisions."
"Towards stream-based reasoning and machine learning for IoT applications","2017","As distributed IoT applications become larger and more complex, the pure processing of raw sensor and actuation data streams becomes impractical. Instead, data streams must be fused into tangible facts and these pieces of information must be combined with a background knowledge to infer new pieces of knowledge. And since many IoT applications require almost realtime reactivity to stimulus of the environment, such information inference process has to be performed in a continuous, on-line manner. This paper proposes a new semantic model for data stream processing and real-time reasoning based on the concepts of Semantic Stream and Fact Stream, as a natural extension of Complex Event Processing (CEP) and RDF (graph-based knowledge model). The main advantages of our approach are that 1) it considers time as a key relation between pieces of information; 2) the processing of streams can be implemented using CEP; 3) it is general enough to be applied to any Data Stream Management System (DSMS). Lastly, we will present challenges and prospects on using machine learning and induction algorithms to learn abstractions and reasoning rules from a continuous data stream."
"An Approach to Aggregation of Security Events in Internet-of-Things Networks Based on Genetic Optimization","2016","Nowadays, the Internet-of-Things (IoT) networks find more, more wide distribution in many areas. IoT peculiarities do rather actual the problem of parallel processing of big arrays of the collected data, including data on security events. It is possible to solve this problem by realization of security event data preprocessing ""on the fly"" on the basis of the complex event processing (CEP) technology. However, issue of parallel processing of CEP queries is poorly addressed in the current literature. This paper presents an approach to solving this problem based on the principles of parallelization of CEP operators in IoT, using genetic algorithms. The genetic algorithm is used for finding the optimum scheme of the distribution of CEP operators on IoT network hosts. Experimental results showed that the usage of the offered approach allows to receive a gain in throughput to 50 percent. At the same time, the operation of the genetic algorithm does not violate the real-time scale."
"Data-centric publish-subscribe approach for Distributed Complex Event Processing deployment in smart grid Internet of Things","2016","Smart grid is an important application of Internet Of Things (IOT). Monitoring data in large-scale smart grid are massive, real-time and dynamic that collected by a lot of sensors, services components etc. There are many challenges in deploying and managing distributed real time monitoring systems. This paper adopted data-centric approach in deploying Distributed Complex Event Processing (DCEP) monitoring system based on OMG Data Distribution Service (DDS) middleware, to bring about a more robust and scalable distributed monitoring system, and that easier to maintain and enhance over time. The DDS data-centric publish-subscribe programming model with support for a number of QoS properties gives many advantages for supporting DCEP components communications, that reliably transports events from data producers to Event Processing Agents (EPAs), between internal DCEP Processing Node (PN), and from the EPAs to the event consumers. This paper analyzed DCEP requirements in IoT, and its PN configuration and deployment flow, designed a DDS/DCEP integration architecture for smart grid IoT monitoring system, and gave a detail design about DCEP development and configuration method based on DDS data-centric programming model, that can simplify the DCEP complex deployment work. This work has beneficial for DECP large scale development & deployment research."
"Learn by Examples How to Link the Internet of Things and the Cloud Computing Paradigms: A Fully Working Proof of Concept","2015","This paper describes a fully-working proof of concept centered around a smart enterprise scenario and able to shed led on the power offered by linking the Internet of Things (IoT) and the Cloud Computing (CC) paradigms together. More specifically, in this showcase all the sensing and actuation capabilities are implemented in the tiny micro-controllers on-board the ""things"" and exposed, through a short-range radio module, as interfaces and commands, while all the smart capabilities (from identity management, to complex event processing, from data contextualization to persistent storage) are implemented as cloud services. In this way one can keep the computational and memory requirements of the devices extremely low, by off-loading the smartness of the application to the cloud services, where computational and memory resources are not an issue. Finally, to connect the two worlds together, a small linux embedded micro-pc is used as a controller, hence playing the role of a smart IoT gateway."
"CARED-SOA: A Context-Aware Event-Driven Service-Oriented Architecture","2017","Currently, context awareness has become essential in software applications and services owing to the high demand by users, especially for mobile computing applications. This need to provide context awareness requires a software infrastructure not only to receive context information but also to make use of it so that it provides advantageous services that may be customized according to user needs. In this paper, we provide an event-driven service-oriented architecture supported by an enterprise service bus, which will facilitate the incorporation of Internet of Things data and provide real-time context-aware services. The result, which has been validated through a real-world case study, is a scalable context-aware architecture which can be applied in a wide spectrum of domains."
"An IoT-Enabled Framework for Dynamic Supply Chain Performance Management","2018","This paper presents a framework of smart real-time performance monitoring and controlling of next-generation supply chains. It is based on enabling a set of Internet-of- Things (IoT) functions across the supply chain for dynamic and intelligent information processing and performance management. This is realized through the utilization of IoT technology in conjunction with workflow modeling to address the dynamic aspects of supply chain in a real-time environment. The proposed mechanism is referred to as Dynamic Supply Chain Performance Management (DSCPM) which is a computerized event-driven system that runs in real-time, monitors a set of selected supply chain performance measures, and effectively enables real-time decision-making. DSCPM functionality is based on the concepts of Complex Event Processing (CEP) to manage the massive event-instances across the supply chain and to convert them into beneficial information. Adopting DSCPM is expected to facilitate realtime corrective actions that reduce wastes and costs and maximize value across the supply chain."
"Real-time processing of IoT events using a Software as a Service (SaaS) architecture with graph database","2016","IoT is a computational notion where each of the tangible objects around are termed as things, which will be connected to other things through the web and will communicate or transfer data between each other. But if the focus is just on the things or devices, than there may be a key ingredient missing, that is all these internet of things are connected to each other. What this entitled is that all of the devices, from appliances to smart phones will be able to share information with one another. When gone into details about Internet of things (IoT), it has lots of different types of things it has devices, it has locations, it has people and they all are connected. That mean a big and a complex connection data is generated. When to model this connected data a relational database or other type of No SQL database is used, they under perform. As those relational and No SQL type abstractions are not optimized for connection data, they are optimized for different kinds of connections. To overcome this, a highly robust, scalable, pluggable and faster architecture is proposed which tries to solve the issues of connected data in IoT domain with the unification of three open source technologies such as Ejabberd, Apache spark and Neo4j database. And to a get more secure and efficient performance this three open source technologies are implemented on a Microsoft azure public cloud. This proposed architecture stack is equally suitable for projects with high ambitions."
"SEDA-SOA: A Scalable Event-Driven Context-Aware Service Oriented Architecture","2018","The increase in the number of Internet of Things (IoT) devices and their vast streaming data, results in data explosion. Context awareness has also become essential in software applications for better service delivery to users. It poses the urgent need for scalable integrated software systems which can analyze, store, extract meaningful events and to deliver information to the customers in real-time considering their context. A highly scalable architecture is proposed which uses distributed queues for decomposability and comprises of three functional components. 1. Distributed complex event integrated system where each of the complex event processing engines are taking care of event detection, 2. The context detection module which extracts contextual information and match them with detected events and, 3. A notification module and an application programming Interface is provided for the bulk alert information delivery. The presented model evaluation shows that our system well suits the current trend and requirements of IoT applications."
"Energy-Efficient ECG Event Signal Processing Using Primitive-Based QRS Complex Detection","2018","The low-power QRS complex detection in the Internet-of-Things (IoT) edge node is helpful in decreasing the number of wireless communications required for serverside DSP computation in wearable applications. This paper proposes an energy-efficient ECG signal processing technique using primitive-based QRS complex detection and demonstrates successful realization in commercial microcontrollers with lowpower consumption, small code size and low profile of required data memory space. The on-chip digital signal processing (DSP) algorithm efficiently extracts the complex's onset and offset based on the QRS complex's morphological characteristics as important information for medical treatment. The events of these timed features are only transferred to the server computing platform. The proposed method is validated on an Arduino mega microcontroller (MCU) for physical human body signals and shows a 2.75% reduction in power consumption, compared to the server-centric DSP for the sampled raw data."
"Healthcare informatics and analytics framework","2015","Healthcare industry is constantly undergoing changes owing to the advancements made in its medical and technological dimensions. Healthcare Informatics has evolved over decades by leveraging upon best of the computer technologies available. It has come a long way from being just a database to a comprehensive source of useful information for analytics and research. Emergence of technology paradigms like Big Data, Internet of Things (IoT), Complex Even Processing (CEP), Cloud Computing etc are changing the way things were. Healthcare informatics is now at juncture to find a complete solution to all its woes by adopting an integrated solution framework based on Big Data, IoT and CEP. This paper proposes one such framework which can act as reference for implementing a holistic healthcare informatics and analytics ecosystem."
